Architecture,learning rate,Regularisation,regularisation,rec dropout rate,dropout rate,batch size,epoch,Optimiser,train f1 score,train accuracy,train loss,valid f1 score,valid accuracy,valid loss,test f1 score,test accuracy,test loss,overfitting_score
bc-LSTM  (OG),0.0001,L1,0.00001,0.1,0.25,10,10,Adam,62.26,66.75,1.009,,,,54.46,59.16,1.265,7.59
bc-LSTM  (OG),0.0001,L2,0.00001,0.1,0.25,10,10,SGD,2.84,11.2,1.972,,,,3.09,13.22,1.925,-2.02
bc-LSTM  (OG),0.0001,L2,0.00001,0.1,0.25,10,10,RMSprop,63.75,67.39,0.9943,,,,55.55,58.16,1.25,9.23
bc-LSTM  (OG),0.0001,L1,0.00001,0.1,0.25,10,10,SGD,31.16,42.8,1.9009,,,,31.27,44.79,1.915,-1.99
bc-LSTM  (OG),0.0001,L1,0.00001,0.1,0.25,10,10,RMSprop,64.22,67.68,0.9962,,,,55.19,59.89,1.2527,7.79
bc-LSTM  (OG),0.0001,L2,0.00001,0.1,0.25,10,10,Adam,63.31,67.15,0.998,,,,55.15,59.31,1.245,7.84
bc-LSTM  (OG),0.0001,L2,0.00001,0.1,0.5,10,10,SGD,24.43,26.88,1.9266,,,,10.29,18.54,1.9246,8.34
bc-LSTM  (OG),0.0001,L2,0.00001,0.1,0.5,10,10,RMSprop,62.5,66.61,1.0302,,,,55.29,59.16,1.2568,7.45
bc-LSTM  (OG),0.0001,L2,0.00001,0.1,0.5,10,10,Adam,62.76,66.53,1.0346,,,,54.71,58.77,1.2759,7.76
bc-LSTM  (OG),0.001,L2,0.0001,0.1,0.25,10,10,Adam,66.12,68.73,0.962,,,,55.66,58.54,1.256,10.19
bc-LSTM  (OG),0.001,L2,0.0001,0.1,0.25,10,10,SGD,29.71,46.88,1.74,,,,31.27,48.12,1.73,-1.24
bc-LSTM  (OG),0.001,L2,0.0001,0.1,0.25,10,10,RMSprop,65.92,68.54,0.9671,,,,52.92,55.98,1.37,12.56
bc-LSTM  (OG),0.1,L2,0.01,0.1,0.25,10,10,Adam,31.52,42.63,1.7429,,,,31.27,54.12,1.534,-11.49
bc-LSTM  (OG),0.1,L2,0.01,0.1,0.25,10,10,SGD,46.96,57.17,1.185,,,,43.14,53.83,1.3746,3.34
bc-LSTM  (OG),0.1,L2,0.01,0.1,0.25,10,10,RMSprop,30.52,43.19,2.2677,,,,31.27,48.12,1.533,-4.93
bc-LSTM  (OG),0.001,L2,0.0001,0.1,0.25,15,10,Adam,66.06,68.66,0.9661,,,,56.07,59,1.226,9.66
bc-LSTM  (OG),0.001,L2,0.0001,0.1,0.25,15,10,SGD,29.71,46.68,1.8935,,,,31.27,48.12,1.82,-1.44
bc-LSTM  (OG),0.001,L2,0.0001,0.1,0.25,15,10,RMSprop,65.84,68.31,0.9671,,,,56.27,59.66,1.279,8.65
bc-LSTM  (OG),0.001,L2,0.0001,0.1,0.25,15,15,Adam,66.65,69.13,0.9493,,,,56.57,58.97,1.24,10.16
bc-LSTM  (OG),0.001,L2,0.0001,0.1,0.25,15,15,SGD,29.71,46.68,1.7411,,,,31.27,48.12,1.7293,-1.44
bc-LSTM  (OG),0.001,L2,0.0001,0.1,0.25,15,15,RMSprop,66.46,69.08,0.9466,,,,56.62,57.97,1.26,11.11
bc-LSTM  (OG),0.001,L2,0.0001,0.1,0.25,10,15,Adam,66.43,69.03,0.9531,,,,57.02,60.77,1.24,8.26
bc-LSTM  (OG),0.001,L2,0.0001,0.1,0.25,10,15,SGD,29.71,46.68,1.6896,,,,31.27,48.12,1.67,-1.44
bc-LSTM  (OG),0.001,L2,0.0001,0.1,0.25,10,15,RMSprop,66.37,68.99,0.9471,,,,56.32,58.43,1.2416,10.56
COSMIC  (OG),0.001,L2,0.003,0.1,0.25,10,10,Adam,79.77,80.3,0.5823,62.82,63.48,1.1373,64.78,65.1,1.0975,15.2
COSMIC  (OG),0.001,L2,0.003,0.1,0.25,10,10,SGD,30.24,47.16,1.4948,25.23,42.38,1.589,31.27,48.12,1.4794,-0.96
COSMIC  (OG),0.001,L2,0.003,0.1,0.25,10,10,RMSprop,75.64,76.43,0.7172,61.61,63.66,1.1436,64.83,66.32,1.053,10.11
COSMIC  (OG),0.001,L2,0.003,0.5,0.5,10,10,Adam,96.79,96.8,0.1299,61.14,63.48,1.7745,63.22,65.17,1.6803,31.63
COSMIC  (OG),0.001,L2,0.003,0.5,0.5,10,10,SGD,30.47,47.09,1.5273,25.23,42.38,1.6124,21.27,48.12,1.5033,-1.03
COSMIC  (OG),0.001,L2,0.003,0.5,0.5,10,10,RMSprop,93.37,93.4,0.5749,61.79,63.75,1.6287,63.79,64.94,1.569,28.46
COSMIC  (OG),0.01,L2,0.03,0.1,0.25,10,10,Adam,46.65,51.8,1.408,38.39,48.15,1.6884,44.34,53.64,1.6355,-1.84
COSMIC  (OG),0.01,L2,0.03,0.1,0.25,10,10,SGD,64.75,69.07,0.9817,56.02,61.14,1.1676,60.17,64.37,1.0701,4.7
COSMIC  (OG),0.01,L2,0.03,0.1,0.25,10,10,RMSprop,30.55,44.98,2.4043,25.32,42.23,1.6402,31.27,48.12,1.5455,-3.14
COSMIC  (OG),0.0001,L1,0.00001,0.1,0.25,10,10,Adam,85.89,86.2,0.4562,64.8,65.64,1.065,64.79,65.4,1.0664,20.8
COSMIC  (OG),0.0001,L1,0.00001,0.1,0.25,10,10,SGD,30.21,47.12,1.811,25.23,42.28,1.8366,31.27,48.12,1.8112,-1
COSMIC  (OG),0.0001,L1,0.00001,0.1,0.25,10,10,RMSprop,85.51,85.86,0.4575,63.82,64.92,1.1046,64.25,65.25,1.0983,20.61
COSMIC  (OG),0.001,L2,0.003,0.1,0.5,15,15,Adam,86.69,86.69,0.3797,63.06,65.37,1.3952,64.57,66.36,1.3461,20.33
COSMIC  (OG),0.001,L2,0.003,0.1,0.5,15,15,SGD,30.24,47.15,1.517,25.23,42.38,1.5891,31.27,48.12,1.4847,-0.97
COSMIC  (OG),0.001,L2,0.003,0.1,0.5,15,15,RMSprop,,80.55,,,,,,65.75,,14.8
COSMIC  (OG),0.001,L2,0.003,0.1,0.5,10,15,Adam,90.39,90.53,0.3206,62.69,63.39,1.1792,63.27,63.64,1.1905,26.89
COSMIC  (OG),0.001,L2,0.003,0.1,0.5,10,15,SGD,30.21,47.12,1.7584,25.31,42.38,1.7836,32.24,48.12,1.7533,-1
COSMIC  (OG),0.001,L2,0.003,0.1,0.5,10,15,RMSprop,,84.39,,,,,,66.25,,18.14
COSMIC  (OG),0.0001,L2,0.0003,0.5,0.5,10,10,SGD,28.76,28.26,1.8799,25.2,42.2,1.8858,31.39,47.97,1.87,-19.71
COSMIC  (OG),0.0001,L2,0.0003,0.5,0.5,10,10,RMSprop,99.55,99.55,0.0492,62.35,64.65,1.6491,64.71,66.36,1.598,33.19
COSMIC  (OG),0.0001,L2,0.0003,0.5,0.5,10,10,Adam,98.72,98.73,0.0908,61.49,63.75,1.4874,63.76,65.48,1.4413,33.25
Dialogu RNN  (OG),0.01,L2,0.001,0.1,0.1,10,10,Adam,65.87,68.39,0.975,,,,55.67,58.39,1.274,10
Dialogu RNN  (OG),0.01,L2,0.001,0.1,0.1,10,10,SGD,29.71,46.68,1.5724,,,,31.27,48.12,1.5546,-1.44
Dialogu RNN  (OG),0.01,L2,0.001,0.1,0.1,10,10,RMSprop,65.54,68.18,0.988,,,,55.8,57.28,1.2667,10.9
Dialogu RNN  (OG),0.0001,L1,0.00001,0.1,0.25,10,10,Adam,58.67,62.69,1.1105,,,,52.9,57.55,1.3195,5.14
Dialogu RNN  (OG),0.0001,L2,0.00001,0.1,0.1,10,10,SGD,29.71,46.68,1.8529,,,,31.27,48.12,1.8449,-1.44
